student_id,full_name,gender,department,10th_marks,10th_board,12th_marks,12th_board,cgpa,backlogs_history,active_backlogs,year_of_study,register_number,email,resume_format,parser_confidence,synthetic_ground_truth
SRM_STA_022,Pavithra Joshi,Prefer not to say,IT,90.3,CBSE,80.7,ICSE,7.87,0,0,2,SRM_STA_022,pavithrajoshi9985@srmist.edu.in,standard,high,False
SRM_STA_022_V2,Pavithra Joshi,Prefer not to say,IT,90.3,CBSE,80.7,ICSE,7.87,0,0,2,SRM_STA_022_V2,pavithrajoshi9985@srmist.edu.in,standard,high,False
SRM_STA_023,Pranav Singh,Prefer not to say,AIML,80.5,CBSE,72.0,ICSE,7.56,0,0,4,SRM_STA_023,pranavsingh3312@srmist.edu.in,standard,high,False
SRM_STA_023_V2,Pranav Singh,Prefer not to say,AIML,80.5,CBSE,72.0,ICSE,7.56,0,0,4,SRM_STA_023_V2,pranavsingh3312@srmist.edu.in,standard,high,False
SRM_STA_024,Pari Roy,Prefer not to say,ECE,74.0,CBSE,77.9,State Board,7.13,0,1,4,SRM_STA_024,pariroy7189@srmist.edu.in,standard,high,False
SRM_STA_024_V2,Pari Roy,Prefer not to say,ECE,74.0,CBSE,77.9,State Board,7.13,0,1,4,SRM_STA_024_V2,pariroy7189@srmist.edu.in,standard,high,False
SRM_STA_025,Jyoti Ghosh,Prefer not to say,CSE,89.1,CBSE,83.6,ICSE,8.18,0,0,4,SRM_STA_025,jyotighosh2136@srmist.edu.in,standard,high,False
SRM_STA_025_V2,Jyoti Ghosh,Prefer not to say,CSE,89.1,CBSE,83.6,ICSE,8.18,0,0,4,SRM_STA_025_V2,jyotighosh2136@srmist.edu.in,standard,high,False
SRM_STA_026,Suresh Tiwari,Prefer not to say,IT,97.0,CBSE,89.9,ICSE,8.57,0,0,4,SRM_STA_026,sureshtiwari6542@srmist.edu.in,standard,high,False
SRM_STA_026_V2,Suresh Tiwari,Prefer not to say,IT,97.0,CBSE,89.9,ICSE,8.57,0,0,4,SRM_STA_026_V2,sureshtiwari6542@srmist.edu.in,standard,high,False
SRM_STA_027,Pranav Bhat,Prefer not to say,AIML,79.7,State Board,72.2,HSC,7.42,0,0,2,SRM_STA_027,pranavbhat5383@srmist.edu.in,standard,high,False
SRM_STA_027_V2,Pranav Bhat,Prefer not to say,AIML,79.7,State Board,72.2,HSC,7.42,0,0,2,SRM_STA_027_V2,pranavbhat5383@srmist.edu.in,standard,high,False
SRM_STA_028,Riley Venkataraman,Prefer not to say,CSE,77.6,ICSE,90.3,CBSE,8.21,0,0,4,SRM_STA_028,rileyvenkataraman5724@srmist.edu.in,standard,high,False
SRM_STA_028_V2,Riley Venkataraman,Prefer not to say,CSE,77.6,ICSE,90.3,CBSE,8.21,0,0,4,SRM_STA_028_V2,rileyvenkataraman5724@srmist.edu.in,standard,high,False
SRM_STA_029,Revathi Mukherjee,Prefer not to say,CSE,73.0,Matriculation Board,73.7,HSC,7.16,0,0,3,SRM_STA_029,revathimukherjee1768@srmist.edu.in,standard,high,False
SRM_STA_029_V2,Revathi Mukherjee,Prefer not to say,ECE,73.0,Matriculation Board,73.7,HSC,7.16,0,0,3,SRM_STA_029_V2,revathimukherjee1768@srmist.edu.in,standard,high,False
SRM_STA_030,Riya Yadav,Prefer not to say,AIML,56.4,State Board,60.6,State Board,6.24,0,0,3,SRM_STA_030,riyayadav9253@srmist.edu.in,standard,high,False
SRM_STA_030_V2,Riya Yadav,Prefer not to say,AIML,56.4,State Board,60.6,State Board,6.24,0,0,3,SRM_STA_030_V2,riyayadav9253@srmist.edu.in,standard,high,False
SRM_STA_031,Aarav Bansal,Prefer not to say,CSE,61.4,CBSE,67.9,State Board,7.59,0,0,3,SRM_STA_031,aaravbansal537@srmist.edu.in,standard,high,False
SRM_STA_031_V2,Aarav Bansal,Prefer not to say,CSE,61.4,CBSE,67.9,State Board,7.59,0,0,3,SRM_STA_031_V2,aaravbansal537@srmist.edu.in,standard,high,False
SRM_STA_032,Rahul Rajendran,Prefer not to say,CSE,75.0,State Board,69.2,State Board,7.55,0,0,4,SRM_STA_032,rahulrajendran5465@srmist.edu.in,standard,high,False
SRM_STA_032_V2,Rahul Rajendran,Prefer not to say,CSE,75.0,State Board,69.2,State Board,7.55,0,0,4,SRM_STA_032_V2,rahulrajendran5465@srmist.edu.in,standard,high,False
SRM_STA_033,Morgan Tiwari,Prefer not to say,IT,79.5,Matriculation Board,84.5,CBSE,7.9,0,0,4,SRM_STA_033,morgantiwari6124@srmist.edu.in,standard,high,False
SRM_STA_033_V2,Morgan Tiwari,Prefer not to say,ECE,79.5,Matriculation Board,84.5,CBSE,7.9,0,0,4,SRM_STA_033_V2,morgantiwari6124@srmist.edu.in,standard,high,False
SRM_STA_034,Surya Agarwal,Prefer not to say,CSE,89.3,Matriculation Board,83.2,CBSE,7.47,0,0,4,SRM_STA_034,suryaagarwal3404@srmist.edu.in,standard,high,False
SRM_STA_034_V2,Surya Agarwal,Prefer not to say,CSE,89.3,Matriculation Board,83.2,CBSE,7.47,0,0,4,SRM_STA_034_V2,suryaagarwal3404@srmist.edu.in,standard,high,False
SRM_STA_035,Nithish Rao,Prefer not to say,IT,70.6,State Board,82.1,State Board,8.04,0,0,4,SRM_STA_035,nithishrao6363@srmist.edu.in,standard,high,False
SRM_STA_035_V2,Nithish Rao,Prefer not to say,IT,70.6,State Board,82.1,State Board,8.04,0,0,4,SRM_STA_035_V2,nithishrao6363@srmist.edu.in,standard,high,False
SRM_STA_036,Tanvi Joshi,Prefer not to say,AIML,61.4,State Board,66.9,HSC,6.25,0,1,3,SRM_STA_036,tanvijoshi4971@srmist.edu.in,standard,high,False
SRM_STA_036_V2,Tanvi Joshi,Prefer not to say,AIML,61.4,State Board,66.9,HSC,6.25,0,1,3,SRM_STA_036_V2,tanvijoshi4971@srmist.edu.in,standard,high,False
SRM_STA_037,Pooja Bansal,Prefer not to say,AIDS,90.9,State Board,81.1,HSC,8.01,0,0,4,SRM_STA_037,poojabansal6646@srmist.edu.in,standard,high,False
SRM_STA_037_V2,Pooja Bansal,Prefer not to say,IT,90.9,State Board,81.1,HSC,8.01,0,0,4,SRM_STA_037_V2,poojabansal6646@srmist.edu.in,standard,high,False
SRM_STA_038,Mithun Sundaram,Prefer not to say,AIDS,76.4,Matriculation Board,80.4,HSC,7.5,0,0,3,SRM_STA_038,mithunsundaram2246@srmist.edu.in,standard,high,False
SRM_STA_038_V2,Mithun Sundaram,Prefer not to say,ECE,76.4,Matriculation Board,80.4,HSC,7.5,0,0,3,SRM_STA_038_V2,mithunsundaram2246@srmist.edu.in,standard,high,False
SRM_STA_039,Lavanya Subramanian,Prefer not to say,AIML,61.0,ICSE,55.8,State Board,6.05,0,0,4,SRM_STA_039,lavanyasubramanian2184@srmist.edu.in,standard,high,False
SRM_STA_039_V2,Lavanya Subramanian,Prefer not to say,CSE,61.0,ICSE,55.8,State Board,6.05,0,0,4,SRM_STA_039_V2,lavanyasubramanian2184@srmist.edu.in,standard,high,False
SRM_STA_040,Dharini Roy,Prefer not to say,AIML,55.4,State Board,63.3,CBSE,6.62,0,0,4,SRM_STA_040,dhariniroy4112@srmist.edu.in,standard,high,False
SRM_STA_040_V2,Dharini Roy,Prefer not to say,AIML,55.4,State Board,63.3,CBSE,6.62,0,0,4,SRM_STA_040_V2,dhariniroy4112@srmist.edu.in,standard,high,False
SRM_STA_041,Surya Yadav,Prefer not to say,IT,80.5,State Board,99.0,Hsc,9.68,0,1,2,SRM_STA_041,srm_sta_041@srmist.edu.in,standard,high,True
SRM_STA_042,Tarun Saxena,Prefer not to say,CSE,85.6,CBSE,66.7,Icse,6.17,0,1,4,SRM_STA_042,srm_sta_042@srmist.edu.in,standard,high,True
SRM_STA_043,Deepak Venkataraman,Prefer not to say,CSE,94.0,ICSE,82.0,Cbse,7.61,0,1,3,SRM_STA_043,srm_sta_043@srmist.edu.in,standard,high,True
SRM_STA_044,Vihaan Nair,Prefer not to say,IT,65.4,State Board,80.2,Hsc,7.55,0,1,4,SRM_STA_044,srm_sta_044@srmist.edu.in,standard,high,True
SRM_STA_045,Reyansh Subramaniam,Prefer not to say,AIML,75.2,State Board,68.2,Cbse,6.77,0,1,2,SRM_STA_045,srm_sta_045@srmist.edu.in,standard,high,True
SRM_STA_046,Lakshya Rajendran,Prefer not to say,IT,99.0,CBSE,60.9,State,6.03,0,1,4,SRM_STA_046,srm_sta_046@srmist.edu.in,standard,high,True
SRM_STA_047,Nandhini Sundaram,Prefer not to say,IT,70.9,ICSE,66.6,Hsc,6.52,0,1,3,SRM_STA_047,srm_sta_047@srmist.edu.in,standard,high,True
SRM_STA_048,Praveen Agarwal,Prefer not to say,CSE,81.6,State Board,82.1,Hsc,8.68,0,1,2,SRM_STA_048,srm_sta_048@srmist.edu.in,standard,high,True
SRM_STA_049,Tara Gupta,Prefer not to say,AIML,84.0,State Board,72.5,Icse,6.91,0,1,3,SRM_STA_049,srm_sta_049@srmist.edu.in,standard,high,True
SRM_STA_050,Logesh Iyer,Prefer not to say,IT,82.2,State Board,86.7,State,6.48,0,2,2,SRM_STA_050,srm_sta_050@srmist.edu.in,standard,high,True
SRM_STA_051,Dhruv Mukherjee,Prefer not to say,AIML,82.6,CBSE,59.2,Cbse,6.32,0,1,2,SRM_STA_051,srm_sta_051@srmist.edu.in,standard,high,True
SRM_STA_052,Pari Das,Prefer not to say,AIML,65.5,CBSE,98.9,Icse,9.95,0,1,2,SRM_STA_052,srm_sta_052@srmist.edu.in,standard,high,True
SRM_STA_053,Ankit Patel,Prefer not to say,IT,89.2,ICSE,58.7,Icse,6.34,0,2,3,SRM_STA_053,srm_sta_053@srmist.edu.in,standard,high,True
SRM_STA_054,Rowan Murugan,Prefer not to say,IT,51.4,State Board,79.2,State,6.48,0,1,3,SRM_STA_054,srm_sta_054@srmist.edu.in,standard,high,True
SRM_STA_055,Vivek Rajendran,Prefer not to say,AIML,53.3,ICSE,52.0,State,6.11,0,1,3,SRM_STA_055,srm_sta_055@srmist.edu.in,standard,high,True
SRM_STA_056,Kishore Tiwari,Prefer not to say,AIDS,81.7,CBSE,69.6,Cbse,7.5,0,1,3,SRM_STA_056,srm_sta_056@srmist.edu.in,standard,high,True
SRM_STA_057,Rashmi Rao,Prefer not to say,AIML,65.5,ICSE,96.1,Cbse,8.92,0,1,4,SRM_STA_057,srm_sta_057@srmist.edu.in,standard,high,True
SRM_STA_058,Sakshi Pillai,Prefer not to say,IT,59.9,CBSE,94.8,Cbse,9.3,0,1,4,SRM_STA_058,srm_sta_058@srmist.edu.in,standard,high,True
SRM_STA_059,Lakshya Jadhav,Prefer not to say,CSE,81.6,State Board,49.1,Icse,6.03,0,1,4,SRM_STA_059,srm_sta_059@srmist.edu.in,standard,high,True
SRM_STA_060,Ananya Roy,Prefer not to say,IT,90.9,CBSE,83.6,State,8.97,0,1,3,SRM_STA_060,srm_sta_060@srmist.edu.in,standard,high,True
SRM_STA_061,Tarun Verma,Prefer not to say,MECH,78.9,State Board,76.8,Cbse,8.23,0,1,3,SRM_STA_061,srm_sta_061@srmist.edu.in,standard,high,True
SRM_STA_062,Dinesh Subramaniam,Prefer not to say,ECE,61.6,CBSE,86.5,State,8.71,0,1,4,SRM_STA_062,srm_sta_062@srmist.edu.in,standard,high,True
SRM_STA_063,Nithish Menon,Prefer not to say,CSE,74.6,CBSE,58.5,Cbse,6.47,0,1,4,SRM_STA_063,srm_sta_063@srmist.edu.in,standard,high,True
SRM_STA_064,Lavanya Bhat,Prefer not to say,CSE,70.7,ICSE,82.6,Cbse,8.28,0,2,3,SRM_STA_064,srm_sta_064@srmist.edu.in,standard,high,True
SRM_STA_065,Tanvi Subramaniam,Prefer not to say,CSE,99.0,State Board,65.2,State,7.89,0,1,3,SRM_STA_065,srm_sta_065@srmist.edu.in,standard,high,True
SRM_STA_066,Avery Shah,Prefer not to say,AIML,68.3,CBSE,83.8,Cbse,7.82,0,1,4,SRM_STA_066,srm_sta_066@srmist.edu.in,standard,high,True
SRM_STA_067,Pranav Iyer,Prefer not to say,CSE,61.6,ICSE,78.8,Cbse,8.18,0,1,4,SRM_STA_067,srm_sta_067@srmist.edu.in,standard,high,True
SRM_STA_068,Divya Mukherjee,Prefer not to say,CSE,51.4,ICSE,78.5,Hsc,7.83,0,1,3,SRM_STA_068,srm_sta_068@srmist.edu.in,standard,high,True
SRM_STA_069,Aishwarya Rajendran,Prefer not to say,AIML,61.4,CBSE,88.8,Icse,8.27,0,2,4,SRM_STA_069,srm_sta_069@srmist.edu.in,standard,high,True
SRM_STA_070,Gokul Natarajan,Prefer not to say,CSE,99.0,State Board,76.1,Hsc,7.95,0,1,2,SRM_STA_070,srm_sta_070@srmist.edu.in,standard,high,True
SRM_STA_071,Kritika Subramaniam,Prefer not to say,CSE,84.4,CBSE,73.9,Hsc,7.78,0,2,4,SRM_STA_071,srm_sta_071@srmist.edu.in,standard,high,True
SRM_STA_072,Ishita Jain,Prefer not to say,ECE,85.3,CBSE,60.2,Icse,7.06,0,1,3,SRM_STA_072,srm_sta_072@srmist.edu.in,standard,high,True
SRM_STA_073,Vaishnavi Mukherjee,Prefer not to say,AIDS,94.2,State Board,61.8,Icse,6.28,0,1,4,SRM_STA_073,srm_sta_073@srmist.edu.in,standard,high,True
SRM_STA_074,Rohit Singh,Prefer not to say,CSE,63.0,CBSE,82.2,Hsc,9.21,0,1,3,SRM_STA_074,srm_sta_074@srmist.edu.in,standard,high,True
SRM_STA_075,Tara Venkataraman,Prefer not to say,CSE,55.4,State Board,96.4,State,9.63,0,1,4,SRM_STA_075,srm_sta_075@srmist.edu.in,standard,high,True
SRM_STA_076,Pallavi Pillai,Prefer not to say,IT,74.0,State Board,77.2,Hsc,7.87,0,1,3,SRM_STA_076,srm_sta_076@srmist.edu.in,standard,high,True
SRM_STA_077,Aarav Subramanian,Prefer not to say,AIDS,68.9,ICSE,75.9,Icse,7.67,0,1,4,SRM_STA_077,srm_sta_077@srmist.edu.in,standard,high,True
SRM_STA_078,Morgan Gopalakrishnan,Prefer not to say,IT,72.6,ICSE,75.3,Icse,6.43,0,1,2,SRM_STA_078,srm_sta_078@srmist.edu.in,standard,high,True
SRM_STA_079,Harsh Verma,Prefer not to say,AIDS,84.9,CBSE,94.9,State,9.19,0,1,4,SRM_STA_079,srm_sta_079@srmist.edu.in,standard,high,True
SRM_STA_080,Siddharth Hegde,Prefer not to say,IT,80.5,CBSE,64.9,State,6.15,0,1,2,SRM_STA_080,srm_sta_080@srmist.edu.in,standard,high,True
SRM_STA_081,Manoj Subramanian,Prefer not to say,IT,90.9,ICSE,85.7,Icse,9.14,0,1,3,SRM_STA_081,srm_sta_081@srmist.edu.in,standard,high,True
SRM_STA_082,Rahul Rao,Prefer not to say,CSE,73.3,ICSE,72.3,Hsc,6.19,0,1,4,SRM_STA_082,srm_sta_082@srmist.edu.in,standard,high,True
SRM_STA_083,Morgan Rajendran,Prefer not to say,CSE,66.9,State Board,77.5,Cbse,6.78,0,1,2,SRM_STA_083,srm_sta_083@srmist.edu.in,standard,high,True
SRM_STA_084,Neha Tiwari,Prefer not to say,AIML,88.3,State Board,75.4,Icse,7.23,0,1,3,SRM_STA_084,srm_sta_084@srmist.edu.in,standard,high,True
SRM_STA_085,Shalini Reddy,Prefer not to say,CSE,92.2,CBSE,63.8,Icse,6.49,0,1,3,SRM_STA_085,srm_sta_085@srmist.edu.in,standard,high,True
SRM_STA_086,Dinesh Verma,Prefer not to say,ECE,85.1,State Board,67.5,Cbse,6.75,0,1,4,SRM_STA_086,srm_sta_086@srmist.edu.in,standard,high,True
SRM_STA_087,Nithish Rajendran,Prefer not to say,AIML,77.6,State Board,72.0,Icse,7.09,0,2,3,SRM_STA_087,srm_sta_087@srmist.edu.in,standard,high,True
SRM_STA_088,Akash Gupta,Prefer not to say,CSE,87.8,State Board,83.0,Hsc,7.88,0,1,3,SRM_STA_088,srm_sta_088@srmist.edu.in,standard,high,True
SRM_STA_089,Sneha Ramachandran,Prefer not to say,CSE,87.8,State Board,67.5,Hsc,7.39,0,2,2,SRM_STA_089,srm_sta_089@srmist.edu.in,standard,high,True
SRM_STA_090,Rohit Mehta,Prefer not to say,IT,75.7,State Board,84.2,State,8.88,0,1,4,SRM_STA_090,srm_sta_090@srmist.edu.in,standard,high,True
SRM_STA_091,Pavan Mishra,Prefer not to say,CSE,99.0,CBSE,67.5,Cbse,7.84,0,1,4,SRM_STA_091,srm_sta_091@srmist.edu.in,standard,high,True
SRM_STA_092,Arnav Krishnamurthy,Prefer not to say,ECE,80.5,ICSE,79.1,Cbse,8.37,0,2,3,SRM_STA_092,srm_sta_092@srmist.edu.in,standard,high,True
SRM_STA_093,Swathi Krishnamurthy,Prefer not to say,AIML,99.0,State Board,55.1,Icse,7.16,0,1,3,SRM_STA_093,srm_sta_093@srmist.edu.in,standard,high,True
SRM_STA_094,Ankit Tiwari,Prefer not to say,ECE,99.0,State Board,87.8,Icse,8.94,0,1,3,SRM_STA_094,srm_sta_094@srmist.edu.in,standard,high,True
SRM_STA_095,Yash Iyer,Prefer not to say,ECE,73.3,ICSE,71.8,Hsc,7.55,0,2,4,SRM_STA_095,srm_sta_095@srmist.edu.in,standard,high,True
SRM_STA_096,Naveen Chauhan,Prefer not to say,AIML,96.5,CBSE,63.0,Cbse,6.32,0,1,3,SRM_STA_096,srm_sta_096@srmist.edu.in,standard,high,True
SRM_STA_097,Tarun Patel,Prefer not to say,AIDS,51.3,ICSE,78.3,Icse,7.97,0,1,3,SRM_STA_097,srm_sta_097@srmist.edu.in,standard,high,True
SRM_STA_098,Santhosh Murugan,Prefer not to say,AIML,64.2,ICSE,59.1,State,6.09,0,2,4,SRM_STA_098,srm_sta_098@srmist.edu.in,standard,high,True
SRM_STA_099,Varun Tiwari,Prefer not to say,CSE,99.0,State Board,94.8,Cbse,8.29,0,1,4,SRM_STA_099,srm_sta_099@srmist.edu.in,standard,high,True
SRM_STA_100,Yash Kulkarni,Prefer not to say,AIML,61.4,CBSE,75.4,Cbse,7.19,0,1,4,SRM_STA_100,srm_sta_100@srmist.edu.in,standard,high,True
SRM_STA_101,Sakshi Patel,Prefer not to say,CSE,84.9,CBSE,65.6,Icse,6.08,0,1,3,SRM_STA_101,srm_sta_101@srmist.edu.in,standard,high,True
SRM_STA_102,Dhruv Das,Prefer not to say,AIML,71.7,State Board,73.5,Cbse,8.0,0,2,3,SRM_STA_102,srm_sta_102@srmist.edu.in,standard,high,True
SRM_STA_103,Kritika Bhat,Prefer not to say,AIML,71.5,CBSE,93.3,Icse,8.14,0,1,4,SRM_STA_103,srm_sta_103@srmist.edu.in,standard,high,True
SRM_STA_104,Nandhini Rao,Prefer not to say,CSE,80.5,State Board,69.4,Cbse,6.82,0,1,4,SRM_STA_104,srm_sta_104@srmist.edu.in,standard,high,True
SRM_STA_105,Sakshi Rajendran,Prefer not to say,IT,77.2,ICSE,63.9,Icse,6.71,0,1,4,SRM_STA_105,srm_sta_105@srmist.edu.in,standard,high,True
SRM_STA_106,Sneha Patil,Prefer not to say,AIML,73.5,CBSE,88.1,State,7.73,0,2,2,SRM_STA_106,srm_sta_106@srmist.edu.in,standard,high,True
SRM_STA_107,Nandhini Gopalakrishnan,Prefer not to say,IT,75.4,ICSE,98.8,State,9.12,0,1,4,SRM_STA_107,srm_sta_107@srmist.edu.in,standard,high,True
SRM_STA_108,Monisha Subramaniam,Prefer not to say,CSE,65.5,CBSE,82.1,State,9.21,0,2,3,SRM_STA_108,srm_sta_108@srmist.edu.in,standard,high,True
